Source_File,Archive,Task,Ground_Size,Seed,Algorithm,Strategy,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size,algo_label,series
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-8.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,8.0,0.95,CalTechMaximization,400.23535000729504,7.994854452931519,279.6719558238983,2,1.0,False,6,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-9.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,9.0,0.95,CalTechMaximization,435.99797546790063,8.29148845285618,566.4133427143097,5,1.0,False,6,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-10.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,10.0,0.95,CalTechMaximization,479.7616192356273,9.376415862154637,262.13505935668945,2,1.0,False,7,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-11.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,11.0,0.95,CalTechMaximization,535.0740645548774,10.81933786109785,181.43326091766357,1,1.0,,8,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-12.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,12.0,0.95,CalTechMaximization,575.8371528682162,11.957783788078373,182.733216047287,1,1.0,,9,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-13.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,13.0,0.95,CalTechMaximization,601.2784189472019,12.982269016325954,185.52203226089478,1,1.0,,10,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-14.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,14.0,0.95,CalTechMaximization,620.7603520539732,13.712053464547168,752.5362696647644,7,1.0,False,10,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-15.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,15.0,0.95,CalTechMaximization,678.7285939257744,14.887483293791728,192.6539921760559,1,1.0,,11,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-6.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,6.0,0.98,CalTechMaximization,332.9995976277473,5.973043973728588,295.37044286727905,1,1.0,False,4,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-7.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,7.0,0.98,CalTechMaximization,381.6827077759318,6.988963521608006,281.4207799434662,1,1.0,False,5,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-8.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,8.0,0.98,CalTechMaximization,407.64305825897264,7.850697868579635,1459.8736310005188,15,1.0,False,6,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-9.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,9.0,0.98,CalTechMaximization,448.33609283488715,8.830875774531378,2176.450028181076,22,1.0,False,6,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-10.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,10.0,0.98,CalTechMaximization,491.76770842584773,9.734410451799395,1319.2899041175842,14,1.0,False,7,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-11.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,11.0,0.98,CalTechMaximization,535.0740645548774,10.81933786109785,586.286333322525,6,1.0,False,8,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-12.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,12.0,0.98,CalTechMaximization,575.8371528682162,11.957783788078373,504.02127170562744,5,1.0,False,9,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-13.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,13.0,0.98,CalTechMaximization,601.2784189472019,12.982269016325954,1008.3343904018402,10,1.0,False,10,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-14.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,14.0,0.98,CalTechMaximization,641.4785233062679,13.895647692875443,2277.694900035858,26,1.0,False,10,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-15.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,15.0,0.98,CalTechMaximization,678.7285939257744,14.887483293791728,825.0994515419006,8,1.0,False,11,EfficientBFS,EfficientBFS (ub2)
