task,alpha,budget,algorithm,heuristic,aux_heuristic,node_count,time_s,tle
youtube,0.95,11.0,EfficientBFS,ub2,ub0,1.0,0.26714301109313965,False
youtube,0.95,11.0,EfficientBranchAndBound,ub0,ub0,1.0,0.047295331954956055,False
youtube,0.95,12.0,BFSTC,ub0,ub0,1.0,0.07300233840942383,False
youtube,0.95,12.0,EfficientBFS,ub0,ub0,1.0,0.18899154663085938,False
youtube,0.95,12.0,EfficientBFS,ub2,ub0,1.0,0.19225764274597168,False
youtube,0.95,12.0,EfficientBranchAndBound,ub0,ub0,1.0,0.07855558395385742,False
youtube,0.95,13.0,BFSTC,ub0,ub0,14.0,5000.293960571289,True
youtube,0.95,13.0,EfficientBFS,ub0,ub0,1.0,0.2250664234161377,False
youtube,0.95,13.0,EfficientBFS,ub2,ub0,1.0,0.2389695644378662,False
youtube,0.95,13.0,EfficientBranchAndBound,ub0,ub0,2.0,0.07852387428283691,False
youtube,0.95,14.0,BFSTC,ub0,ub0,19.0,5000.08345580101,True
youtube,0.95,14.0,EfficientBFS,ub0,ub0,1.0,0.16432762145996094,False
youtube,0.95,14.0,EfficientBFS,ub2,ub0,1.0,0.24002671241760254,False
youtube,0.95,14.0,EfficientBranchAndBound,ub0,ub0,2.0,0.12560224533081055,False
youtube,0.95,15.0,BFSTC,ub0,ub0,19.0,5000.242901325226,True
youtube,0.95,15.0,EfficientBFS,ub0,ub0,1.0,0.15031909942626953,False
youtube,0.95,15.0,EfficientBFS,ub2,ub0,1.0,0.259169340133667,False
youtube,0.95,15.0,EfficientBranchAndBound,ub0,ub0,2.0,0.12561631202697754,False
youtube,0.98,7.0,EfficientBFS,ub0,ub0,2.0,0.6149082183837891,False
youtube,0.98,7.0,EfficientBFS,ub2,ub2,2.0,0.38538455963134766,False
youtube,0.98,8.0,EfficientBFS,ub0,ub0,4.0,2.8685684204101562,False
youtube,0.98,8.0,EfficientBFS,ub2,ub2,4.0,2.560504674911499,False
youtube,0.98,9.0,EfficientBFS,ub0,ub0,5.0,4.409682035446167,False
youtube,0.98,9.0,EfficientBFS,ub2,ub2,5.0,3.487936496734619,False
youtube,0.98,10.0,EfficientBFS,ub0,ub0,5.0,3.6863677501678467,False
youtube,0.98,10.0,EfficientBFS,ub2,ub2,1.0,0.17290258407592773,False
youtube,0.98,11.0,EfficientBFS,ub0,ub0,1.0,0.21115541458129883,False
youtube,0.98,11.0,EfficientBFS,ub2,ub2,1.0,0.15744471549987793,False
youtube,0.98,12.0,EfficientBFS,ub0,ub0,3.0,1.118631362915039,False
youtube,0.98,12.0,EfficientBFS,ub2,ub2,1.0,0.24074697494506836,False
youtube,0.98,13.0,EfficientBFS,ub0,ub0,3.0,1.2169945240020752,False
youtube,0.98,13.0,EfficientBFS,ub2,ub2,1.0,0.25162172317504883,False
youtube,0.98,14.0,EfficientBFS,ub0,ub0,3.0,0.9680483341217041,False
youtube,0.98,14.0,EfficientBFS,ub2,ub2,1.0,0.26958537101745605,False
youtube,0.98,15.0,EfficientBFS,ub0,ub0,3.0,1.1920931339263916,False
youtube,0.98,15.0,EfficientBFS,ub2,ub2,1.0,0.2514073848724365,False
