task,alpha,budget,algorithm,heuristic,aux_heuristic,series_label,node_count,tle
youtube,0.95,15.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.95,15.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2.0,False
youtube,0.95,16.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.95,16.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.95,17.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.95,17.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.95,18.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.95,18.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.95,19.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.95,19.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.95,20.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.95,20.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.98,7.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,2.0,False
youtube,0.98,7.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,2.0,False
youtube,0.98,8.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,4.0,False
youtube,0.98,8.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,4.0,False
youtube,0.98,9.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,5.0,False
youtube,0.98,9.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,5.0,False
youtube,0.98,10.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,5.0,False
youtube,0.98,10.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.98,11.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.98,11.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.98,12.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,3.0,False
youtube,0.98,12.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.98,13.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,3.0,False
youtube,0.98,13.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.98,14.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,3.0,False
youtube,0.98,14.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.98,15.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,3.0,False
youtube,0.98,15.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
