Task,Ground_Size,Seed,Algorithm,Strategy,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
youtube,1000,0,EfficientBFS,Standard,ub2,,11.0,0.98,,32.0,10.676746640047597,0.10979151725769043,1,1.0,False,6
youtube,1000,0,EfficientBFS,Standard,ub2,,11.0,1.0,,32.0,10.676746640047597,0.392423152923584,1,1.0,False,6
youtube,1000,0,EfficientBFS,Standard,ub2,,12.0,0.95,,33.0,11.67857289904319,0.11279988288879395,1,1.0,False,7
youtube,1000,0,EfficientBFS,Standard,ub2,,12.0,0.98,,33.0,11.67857289904319,0.1560962200164795,1,1.0,False,7
youtube,1000,0,EfficientBFS,Standard,ub2,,12.0,1.0,,33.0,11.67857289904319,0.34504222869873047,1,1.0,False,7
youtube,1000,0,EfficientBFS,Standard,ub2,,13.0,0.95,,34.0,12.219069745533055,0.12627148628234863,1,1.0,False,7
youtube,1000,0,EfficientBFS,Standard,ub2,,13.0,0.98,,34.0,12.219069745533055,0.1571199893951416,1,1.0,False,7
youtube,1000,0,EfficientBFS,Standard,ub2,,13.0,1.0,,34.0,12.219069745533055,0.3150520324707031,1,1.0,False,7
youtube,1000,0,EfficientBFS,Standard,ub2,,14.0,0.95,,35.0,13.220896004528647,0.14143681526184082,1,1.0,False,8
youtube,1000,0,EfficientBFS,Standard,ub2,,14.0,0.98,,35.0,13.220896004528647,0.17232561111450195,1,1.0,False,8
youtube,1000,0,EfficientBFS,Standard,ub2,,14.0,1.0,,35.0,13.220896004528647,0.3298044204711914,1,1.0,False,8
youtube,1000,0,EfficientBFS,Standard,ub2,,15.0,0.95,,36.0,14.22295358796627,0.2195589542388916,1,1.0,False,9
youtube,1000,0,EfficientBFS,Standard,ub2,,15.0,0.98,,36.0,14.22295358796627,0.17782020568847656,1,1.0,False,9
youtube,1000,0,EfficientBFS,Standard,ub2,,15.0,1.0,,36.0,14.22295358796627,0.39281225204467773,1,1.0,False,9
