Task,Ground_Size,Seed,Algorithm,Strategy,Heuristic,Sorting,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
youtube,1000,0,Efficient,,,,ub0,d,18.0,0.95,YoutubeCoverage,39.0,17.242266633752404,0.20412850379943848,2,,False,12
youtube,1000,0,Efficient,,,,ub0,d,19.0,0.95,YoutubeCoverage,40.0,18.257053832003354,0.21911144256591797,2,,False,13
youtube,1000,0,Efficient,,,,ub0,d,20.0,0.95,YoutubeCoverage,41.0,19.28076410521116,0.1885817050933838,2,,False,14
youtube,1000,0,Efficient,,,,ub0,d,21.0,0.95,YoutubeCoverage,42.0,20.313647827946603,0.21134209632873535,2,,False,15
youtube,1000,0,Efficient,,,,ub0,d,22.0,0.95,YoutubeCoverage,43.0,21.349536097360026,0.3453810214996338,2,,False,16
youtube,1000,0,Efficient,,,,ub0,d,23.0,0.95,YoutubeCoverage,44.0,22.38680705902042,0.314349889755249,2,,False,17
youtube,1000,0,Efficient,,,,ub0,d,24.0,0.95,YoutubeCoverage,45.0,23.425340013751537,0.3207707405090332,2,,False,18
youtube,1000,0,Efficient,,,,ub0,d,25.0,0.95,YoutubeCoverage,46.0,24.47510495168211,0.4552476406097412,2,,False,19
youtube,1000,0,Efficient,,,,ub0,d,26.0,0.95,YoutubeCoverage,47.0,25.529645419799813,0.36586713790893555,2,,False,20
youtube,1000,0,Efficient,,,,ub0,d,27.0,0.95,YoutubeCoverage,48.0,26.585460435873497,0.48906660079956055,2,,False,21
youtube,1000,0,Efficient,,,,ub0,d,28.0,0.95,YoutubeCoverage,49.0,27.64194100131429,0.4557504653930664,2,,False,22
youtube,1000,0,Efficient,,,,ub0,d,29.0,0.95,YoutubeCoverage,50.0,28.701076686006083,0.6440219879150391,2,,False,23
