Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,probing,False,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,19.89387583732605,1,1,11
adult,111,0,EfficientBFS,traditional,False,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,18.780744314193726,1,1,11
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,18.82995057106018,1,1,11
adult,111,0,EfficientBFS,density_gap,False,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.919177293777466,1,1,11
adult,111,0,EfficientBFS,injection,False,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.614976167678833,1,1,11
adult,111,0,EfficientBFS,probing,False,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.544599533081055,1,1,11
adult,111,0,EfficientBFS,traditional,False,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.940309524536133,1,1,11
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.801378965377808,1,1,11
adult,111,0,EfficientBFS,density_gap,False,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.516854286193848,1,1,11
adult,111,0,EfficientBFS,injection,False,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,18.407002210617065,1,1,11
adult,111,0,EfficientBFS,probing,False,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,18.564650774002075,1,1,11
adult,111,0,EfficientBFS,traditional,False,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.08661937713623,1,1,11
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,18.807533502578735,1,1,11
adult,111,0,EfficientBFS,density_gap,False,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,18.198330402374268,1,1,12
adult,111,0,EfficientBFS,injection,False,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,18.192384243011475,1,1,12
adult,111,0,EfficientBFS,probing,False,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,19.207100868225098,1,1,12
adult,111,0,EfficientBFS,traditional,False,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,18.736811876296997,1,1,12
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,18.59862518310547,1,1,12
adult,111,0,EfficientBFS,density_gap,False,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,18.700010299682617,1,1,13
adult,111,0,EfficientBFS,injection,False,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,18.64678144454956,1,1,13
adult,111,0,EfficientBFS,probing,False,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,18.54895853996277,1,1,13
adult,111,0,EfficientBFS,traditional,False,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,19.016124486923218,1,1,13
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,18.43071699142456,1,1,13
