Task,Ground_Size,Seed,Algorithm,Strategy,Heuristic,Sorting,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
adult,111,0,EfficientBFS,density_gap,ub2,d,,,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.816505101490996,19.32832908630371,1,1.0,False,18
adult,111,0,EfficientBFS,fullbab,ub2,d,,,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.816505101490996,22.374431371688843,1,1.0,False,18
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.816505101490996,18.85203194618225,1,1.0,False,18
adult,111,0,EfficientBFS,traditional,ub2,d,,,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.816505101490996,18.497982501983643,1,1.0,False,18
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,6.0,0.95,FacebookGraphCoverage,307.0,5.999296292853672,0.28261351585388184,1,1.0,False,4
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,6.0,0.95,FacebookGraphCoverage,307.0,5.999296292853672,0.34551239013671875,1,1.0,False,4
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,6.0,0.95,FacebookGraphCoverage,307.0,5.999296292853672,0.2825772762298584,1,1.0,False,4
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,6.0,0.95,FacebookGraphCoverage,307.0,5.999296292853672,0.2507762908935547,1,1.0,False,4
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,7.0,0.95,FacebookGraphCoverage,335.0,6.039049562720425,0.38538503646850586,1,1.0,False,4
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,7.0,0.95,FacebookGraphCoverage,335.0,6.039049562720425,0.44982218742370605,1,1.0,False,4
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,7.0,0.95,FacebookGraphCoverage,335.0,6.039049562720425,0.5058693885803223,1,1.0,False,4
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,7.0,0.95,FacebookGraphCoverage,335.0,6.039049562720425,0.4238884449005127,1,1.0,False,4
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,8.0,0.95,FacebookGraphCoverage,366.0,7.316542747250367,0.606311559677124,1,1.0,False,5
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,8.0,0.95,FacebookGraphCoverage,366.0,7.316542747250367,0.6972165107727051,1,1.0,False,5
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,8.0,0.95,FacebookGraphCoverage,366.0,7.316542747250367,0.6173343658447266,1,1.0,False,5
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,8.0,0.95,FacebookGraphCoverage,366.0,7.316542747250367,0.5718867778778076,1,1.0,False,5
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,9.0,0.95,FacebookGraphCoverage,390.0,8.345062977913397,0.8535351753234863,1,1.0,False,6
